title,artist,genre
あゝオオサカdreamin'night,どついたれ本舗,アニソン
嗚呼、素晴らしきニャン生,"Nem feat.鏡音レン,GUMI",ボカロ
ああ電子戦隊デンジマン,"成田賢,こおろぎ'73",ニチアサ
EYE,Kanaria feat. GUMI,ボカロ
アイデンティティ,"Kanaria feat. 初音ミク,GUMI",ボカロ
アイドル,YOASOBI,アニソン
Iなんです,25時、ナイトコードで。,アニソン
アイネクライネ,米津玄師,J-POP
アイのシナリオ,CHiCO with HoneyWorks,アニソン
愛迷エレジー,DECO*27 feat.marina,ボカロ
アイラビューアイニジュー,KEI feat.初音ミク,ボカロ
アイロニ,すこっぷ feat. 初音ミク,ボカロ
アイワナムチュー,"MAISONdes feat. asmi, すりぃ",ボカロ
愛をこめて花束を,Superfly,J-POP
アウターサイエンス,じん feat. IA,ボカロ
青のすみか,キタニタツヤ,アニソン
アカシア,BUMP OF CHICKEN,アニソン
悪魔の踊り方,こんにちは谷田さん(キタニタツヤ) feat. 鏡音リン,ボカロ
アサガオの散る頃に,じっぷす feat. 初音ミク,ボカロ
阿修羅ちゃん,Ado,J-POP
アスノヨゾラ哨戒班,Orangestar feat.IA,ボカロ
アドバンス・アドベンチャー,GARDEN,アニソン
アニマル,"DECO*27,Rockwell feat.初音ミク",ボカロ
あの夏のいつかは,"*Luna feat. 音街ウナ,Rana",ボカロ
About me,蝶々P feat. GUMI,ボカロ
アポロ,ポルノグラフィティ,J-POP
天ノ弱,164 feat.GUMI,ボカロ
Alive A life,松本 梨香,アニソン
アローラ!!,サトシ(CV.松本梨香)withピカチュウ(CV.大谷育江),アニソン
アンサイズニア,ONE OK ROCK,J-POP
アンダー・ザ・シー,上條恒彦,ディズニー
UNDEAD,YOASOBI,アニソン
&ME,NALALA,アイドル
いーあるふぁんくらぶ,"みきとP feat.GUMI,鏡音リン",ボカロ
いかないで,想太 feat.歌愛ユキ,ボカロ
いけないボーダーライン,ワルキューレ,アニソン
1925,冨田悠斗(とみー/T-POCKET) feat. 初音ミク,ボカロ
一生分のラブレター,ウソツキ,J-POP
威風堂々,"梅とら feat. 初音ミク,鏡音リン,巡音ルカ,GUMI,IA",ボカロ
インフルエンサー,乃木坂46,アイドル
ヴァンパイア,"DECO*27,Rockwell feat. 初音ミク",ボカロ
We are the ONE ～僕らはひとつ～,串田アキラ,ニチアサ
ウィーアー！,きただにひろし,アニソン
ヴィラン,てにをは feat. v flower,ボカロ
Watch me!,YOASOBI,アニソン
うまぴょい伝説,ウマ娘 プリティーダービー,アニソン
え？あぁ、そう。,蝶々P feat. 初音ミク,ボカロ
エイリアンエイリアン,ナユタン星人 feat. 初音ミク,ボカロ
YELL,いきものがかり,J-POP
EXCITE,三浦大知,ニチアサ
エゴロック,すりぃ feat. 鏡音レン,ボカロ
Anything Goes!,大黒摩季,ニチアサ
Everyday、カチューシャ,AKB48,アイドル
M,PRINCESS PRINCESS,J-POP
エンヴィーベイビー,Kanaria feat. GUMI,ボカロ
『エンヴィーベイビー』×『KING』,Kanaria feat. GUMI,ボカロ
炎神戦隊ゴーオンジャー,高橋秀幸(Project.R),ニチアサ
炎神ファーストラップ-Type Normal-,Project.R,ニチアサ
エンゼルフィッシュ,パトリチェフ feat. 鏡音リン,ボカロ
EmBlem!!!,BAE,アニソン
大声ダイヤモンド,AKB48,アイドル
オートファジー,柊キライ feat. v flower,ボカロ
Overdose,なとり,J-POP
オーレ!オーレンジャー,速水けんたろう,ニチアサ
おジャ魔女カーニバル!!,MAHO堂,アニソン
おじゃま虫,DECO*27 feat. 初音ミク,ボカロ
おじゃま虫Ⅱ,"DECO*27,TeddyLoid feat. 初音ミク",ボカロ
おちゃめ機能,ゴジマジP feat. 重音テト,ボカロ
踊,Ado,J-POP
乙女解剖,DECO*27 feat.初音ミク,ボカロ
鬼ノ宴,友成空,J-POP
おねがいダーリン,ナナホシ管弦楽団 feat. ONE,ボカロ
お願いマッスル,紗倉ひびき(CV.ファイルーズあい)＆街雄鳴造(CV.石川界人),アニソン
オリオンをなぞる,UNISON SQUARE GARDEN,J-POP
俺こそオンリーワン,MORISAKI WIN,ニチアサ
ガーネット,奥華子,アニソン
ガールズルール,乃木坂46,アイドル
廻廻奇譚,Eve,アニソン
怪獣の花唄,Vaundy,J-POP
快晴,Orangestar feat. IA,ボカロ
海賊戦隊ゴーカイジャー,松原剛志(Project.R),ニチアサ
怪盗・窪園チヨコは絶対ミスらない,椎名もた(ぽわぽわP) feat. 鏡音リン,ボカロ
怪物,YOASOBI,アニソン
帰り道は遠回りしたくなる,乃木坂46,アイドル
ガオレンジャー吼えろ!!,山形ユキオ,ニチアサ
科学戦隊ダイナマン,"Mojo,こおろぎ '73",ニチアサ
カキツバタオルケストラ,"藍乃 feat. 滲音かこい,*染",ボカロ
影踏みエトランゼ,Substreet feat. 初音ミク,ボカロ
カゲロウデイズ,じん feat. 初音ミク,ボカロ
カサブタ,千綿ヒデノリ,アニソン
風待ちハローワールド,add9(ヘリP) feat. 初音ミク,ボカロ
風待ちハローワルド,add9(ヘリP) feat. 初音ミク,ボカロ
ガッチャ☆ゴセイジャー,高橋秀幸(Project.R),ニチアサ
勝って泣こうゼッ!,"T-Pistonz,KMC",アニソン
Got Boost？,FANTASTICS,ニチアサ
カトラリー,有機酸 feat. 初音ミク,ボカロ
かなしみのなみにおぼれる,Neru feat. 鏡音レン,ボカロ
神っぽいな,ピノキオピー feat.初音ミク,ボカロ
からくりピエロ,40mP feat.初音ミク,ボカロ
Calc.,ジミーサムP feat. 初音ミク,ボカロ
かわいいだけじゃだめですか？,CUTIE STREET,アイドル
可愛くてごめん,feat. ちゅーたん(CV.早見沙織)/HoneyWorks,アニソン
変わらないもの,奥華子,アニソン
勘冴えて悔しいわ,ずっと真夜中でいいのに。,J-POP
感動共有!,"T-Pistonz,KMC",アニソン
ガンバランスdeダンス,五條真由美 with フラッピ&チョッピーズ,アニソン
ギザギザハートの子守唄,チェッカーズ,J-POP
如月アテンション,じん feat. IA,ボカロ
騎士竜戦隊リュウソウジャー,幡野智宏(Project.R),ニチアサ
疑心暗鬼,"梅とら feat. 初音ミク,鏡音リン,巡音ルカ,GUMI,IA",ボカロ
キセキ,GRe4N BOYZ(GReeeeN),J-POP
KICK BACK,米津玄師,J-POP
気まぐれロマンティック,いきものがかり,J-POP
君じゃなきゃダメみたい,オーイシマサヨシ,J-POP
君にBUMP,ケツメイシ,J-POP
君の知らない物語,Supercell,アニソン
君のそばで～ヒカリのテーマ～,グリン,アニソン
君はロックを聴かない,あいみょん,J-POP
逆光,Ado,J-POP
Q,椎名もた(ぽわぽわP) feat.鏡音リン,ボカロ
救急戦隊ゴーゴーファイブ,石原慎一,ニチアサ
きゅうくらりん,いよわ feat. 可不,ボカロ
強風オールバック,Yukopi feat. 歌愛ユキ,ボカロ
恐竜戦隊ジュウレンジャー,佐藤健太,ニチアサ
ギラギラ,Ado,J-POP
キラキラしちゃって My True Love!,宮本佳那子,ニチアサ
キラフル ミラクル キラメイジャー,出口たかし,ニチアサ
銀河鉄道999,ゴダイゴ,アニソン
KING,Kanaria feat. GUMI,ボカロ
空想フォレスト,じん feat.IA,ボカロ
Good Time,(feat. SKY-HI)/cozmez,アニソン
グッバイ宣言,Chinozo feat. v flower,ボカロ
Cry Baby,Official髭男dism,アニソン
クラクラ,Ado,J-POP
繰り返し一粒,猫虫 feat.鏡音リン,ボカロ
Click,ME:I,アイドル
紅蓮華,LiSA,アニソン
群青,YOASOBI,J-POP
激走戦隊カーレンジャー~フルアクセルヴァージョン~,高山成孝,ニチアサ
激走戦隊カーレンジャー,高山成孝,ニチアサ
ゲッチュウ!らぶらぶぅ?!,五條真由美,ニチアサ
Get Wild,TM NETWORK,アニソン
ケッペキショウ,すこっぷ feat. GUMI,ボカロ
CHEMY×STORY,BACK-ON,ニチアサ
喧嘩上等,氣志團,J-POP
小悪魔だってかまわない！,めいちゃん,J-POP
恋するフォーチュンクッキー,AKB48,アイドル
コインロッカーベイビー,MARETU feat. 初音ミク,ボカロ
轟轟戦隊ボウケンジャー,NoB,ニチアサ
高速戦隊ターボレンジャー,佐藤健太,ニチアサ
ゴーゴー幽霊船,米津玄師,J-POP
ゴーストルール,DECO*27 feat. 初音ミク,ボカロ
コールボーイ,syudou feat. 初音ミク,ボカロ
心のファンファーレ,奥井亜紀,アニソン
虎視眈々,"梅とら feat. 初音ミク,鏡音リン,巡音ルカ,GUMI,IA",ボカロ
五星戦隊ダイレンジャー,NEW JACK拓郎,ニチアサ
コツコツ-PON-PON,ブンドリオ・ブンデラス(CV.松本梨香),ニチアサ
こっち向いて Baby,ryo(supercell) feat.初音ミク,ボカロ
God knows...,涼宮ハルヒ(CV.平野綾),アニソン
粉雪,レミオロメン,J-POP
壊れかけのRadio,德永英明,J-POP
さぁ行け!ニンニンジャー!,大西洋平,ニチアサ
最強最高 SUPER STARS！,NoB,ニチアサ
サウダージ,ポルノグラフィティ,J-POP
さくら,ケツメイシ,J-POP
SURPRISE-DRIVE,MITSURU MATSUOKA EARNEST DRIVE,ニチアサ
サマータイムレコード,じん feat. IA,ボカロ
侍戦隊シンケンジャー,サイキックラバー,ニチアサ
サムライハート,SPYAIR,アニソン
さようなら、花泥棒さん,メル feat. 初音ミク,ボカロ
小夜子,みきとP feat. 初音ミク,ボカロ
さよならエレジー,菅田将暉,J-POP
サリシノハラ,みきとP feat.初音ミク,ボカロ
残響散歌,Aimer,アニソン
シークレット カクレンジャー,トゥー・チー・チェン,ニチアサ
secret base 〜君がくれたもの〜,ZONE,アニソン
JIKU~未来戦隊タイムレンジャー~,佐々木久美,ニチアサ
CITRUS,Da-iCE,J-POP
シネマ,Ayase feat. 初音ミク,ボカロ
シャイニング パワー,Berryz工房,アイドル
Just be friends,Dixie Flatline feat.巡音ルカ,ボカロ
ジャッカー電撃隊,"ささきいさお,こおろぎ'73",ニチアサ
ジャックポットサッドガール,syudou feat. 初音ミク,ボカロ
シャルル,バルーン feat. v flower,ボカロ
ジャンキーナイトタウンオーケストラ,すりぃ feat. 鏡音レン,ボカロ
シャンティ,wotaku feat. KAITO,ボカロ
獣拳戦隊ゲキレンジャー,"谷本貴義,ヤング・フレッシュ",ニチアサ
15の夜,尾崎豊,J-POP
従属ふりったー,koyori(電ポルP) feat. 初音ミク,ボカロ
シュガーソングとビターステップ,UNISON SQUARE GARDEN,アニソン
粛聖!! ロリ神レクイエム☆,しぐれうい,VTuber
祝福,YOASOBI,アニソン
宿命,Official髭男dism,J-POP
純情スカート,40mP feat. 初音ミク,ボカロ
少女レイ,みきとP feat. 初音ミク,ボカロ
シリョクケンサ,40mP feat. GUMI,ボカロ
シル・ヴ・プレジデント,P丸様。,VTuber
白い恋人達,桑田佳祐,J-POP
白い雪のプリンセスは,のぼる↑ feat.初音ミク,ボカロ
しわ,buzzG feat.GUMI,ボカロ
深海シティアンダーグラウンド,田中B feat. 鏡音リン,ボカロ
深海少女,ゆうゆ feat.初音ミク,ボカロ
深海のリトルクライ,sasakure.UK feat. 土岐麻子,J-POP
Sing Out!,乃木坂46,アイドル
ジングルベル,童謡,童謡
シンクロニシティ,乃木坂46,アイドル
新時代,Ado,アニソン
心臓デモクラシー,みきとP feat.初音ミク,ボカロ
心拍数#0822,蝶々P feat. 初音ミク,ボカロ
スイートマジック,Junky feat. 鏡音リン,ボカロ
ずうっといっしょ!,キタニタツヤ,J-POP
スーパー戦隊 ヒーローゲッター,Project.R,ニチアサ
スーパー戦隊ヒーローゲッター～テン・ゴーカイジャーver.～,Project.R,ニチアサ
進め!ゴレンジャー,"ささきいさお,堀江美都子",ニチアサ
スターマーカー,KANA-BOON,アニソン
Snow halation,μ's,アニソン
スノースマイル,BUMP OF CHICKEN,J-POP
星間飛行,ランカ・リー＝中島愛,アニソン
星獣戦隊ギンガマン,希砂未竜,ニチアサ
青春バスガイド,Berryz工房,アイドル
セカイ,"DECO*27,堀江晶太(kemu) feat. 初音ミク",ボカロ
世界一可愛い私,藤田ことね(CV.飯田ヒカル),アニソン
世界でいちばん熱い夏,PRINCESS PRINCESS,J-POP
セカイはまだ始まってすらいない,ピノキオピー feat. 初音ミク,ボカロ
セツナトリップ,Last Note. feat.GUMI,ボカロ
千本桜,黒うさP feat.初音ミク,ボカロ
全力キング,古川貴之,ニチアサ
全力全開!ゼンカイジャー,"つるの剛士,ことのみ児童合唱団",ニチアサ
創聖のアクエリオン,AKINO,アニソン
想像フォレスト,じん feat.IA,ボカロ
そこに空があるから,江崎とし子,J-POP
空色デイズ,中川翔子,アニソン
ダーリン,須田景凪,J-POP
ダーリンダンス,かいりきベア feat.初音ミク,ボカロ
DIAMONDS,PRINCESS PRINCESS,J-POP
大戦隊ゴーグルV,"MoJo,こおろぎ'73,ザ・チャープス",ニチアサ
タイプ:ワイルド,松本梨香,ニチアサ
太陽戦隊サンバルカン,"串田アキラ,こおろぎ'73",ニチアサ
太陽系デスコ,ナユタン星人 feat. 初音ミク,ボカロ
ダウナーウィッチ,廉 feat. 初音ミク,ボカロ
ダウンタイム,すりぃ feat. 鏡音レン,ボカロ
絶え間なく藍色,獅子志司(Choisauce)  feat. 初音ミク,ボカロ
だから僕は音楽を辞めた,ヨルシカ,J-POP
ただ君に晴れ,ヨルシカ,J-POP
ダダダダ天使,ナナヲアカリ,アニソン
立ち上がリーヨ,T-Pistonz,アニソン
タッチ,岩崎良美,アニソン
ダブルラリアット,アゴアニキ feat. 巡音ルカ,ボカロ
ダンスロボットダンス,ナユタン星人 feat. 初音ミク,ボカロ
DANZEN!ふたりはプリキュア,五條真由美,ニチアサ
小さきもの,林明日香,アニソン
チェックメイト,ゆちゃP feat. GUMI,ボカロ
CH4NGE,Giga feat. 可不,ボカロ
地球最後の告白を,kemu feat.GUMI,ボカロ
地球戦隊ファイブマン,鈴木けんじ,ニチアサ
CHA-LA HEAD-CHA-LA,影山ヒロノブ,アニソン
チューリングラブ,ナナヲアカリ,アニソン
超獣戦隊ライブマン,嶋大輔,ニチアサ
超新星フラッシュマン,北原拓,ニチアサ
鳥人戦隊ジェットマン,影山ヒロノブ,ニチアサ
超電子バイオマン,宮内タカユキ,ニチアサ
チョコレイト・ディスコ,Perfume,J-POP
チルドレンレコード,じん feat. IA,ボカロ
TSUNAMI,サザンオールスターズ,J-POP
Dear,19's Sound Factory feat. 初音ミク,ボカロ
ディジーディジー,蜂屋ななし feat. v flower,ボカロ
テトリス,柊マグネタイト feat. 重音テト,ボカロ
デリヘル呼んだら君が来た,ナナホシ管弦楽団 feat. 初音ミク,ボカロ
Tell Your World,livetune feat.初音ミク,ボカロ
テレキャスタービーボーイ,すりぃ feat. 鏡音レン,ボカロ
電撃戦隊チェンジマン,影山ヒロノブ,ニチアサ
天才ロック,カラスヤサボウ feat. 鏡音リン,ボカロ
電磁戦隊メガレンジャー,風雅なおと,ニチアサ
天装戦隊ゴセイジャー,NoB(Project.R),ニチアサ
天地ガエシ,NICO Touches the Walls,アニソン
トウキョウ・シャンディ・ランデヴ,"feat. 花譜,ツミキ/MAISONdes",ボカロ
東京テディベア,Neru feat. 鏡音リン,ボカロ
Together,あきよしふみえ,アニソン
動物戦隊ジュウオウジャー,高取ヒデアキ(Project.R),ニチアサ
透明人間,東京事変,J-POP
ドーナツホール,ハチ feat. GUMI,ボカロ
ドキメキダイアリー,asmi feat. Chinozo,アニソン
特捜戦隊デカレンジャー,サイキックラバー,ニチアサ
ドクトリーヌ,煮ル果実 feat. v flower,ボカロ
年下の男の子,キャンディーズ,アイドル
ドナーソング,"もじゃ,れるりり feat. GUMI",ボカロ
友よ ～ この先もずっと･･･,ケツメイシ,J-POP
ドライフラワー,優里,J-POP
ドラマツルギー,Eve,ボカロ
トリノコシティ,40mP feat.初音ミク,ボカロ
ドレミファロンド,40mP feat.初音ミク,ボカロ
頓珍漢の宴,ピノキオピー feat. 初音ミク,ボカロ
トンデモワンダーズ,sasakure. UK feat. 初音ミク,ボカロ
ないものねだり,KANA-BOON,J-POP
NOW ON AIR,赤い公園,J-POP
涙そうそう,夏川りみ,J-POP
夏の思い出,ケツメイシ,J-POP
夏祭り,JITTERIN'JINN(cover Whiteberry),J-POP
撫でんな,柊マグネタイト feat. 可不,ボカロ
なにやってもうまくいかない,meiyo,J-POP
名前のない怪物,EGOIST,アニソン
ニア,夏代孝明 feat. 初音ミク,ボカロ
虹,Aqua Timez,J-POP
猫,DISH//,J-POP
ネトゲ廃人シュプレヒコール,さつきがてんこもり feat. 初音ミク,ボカロ
脳漿炸裂ガール,"れるりり feat.初音ミク,GUMI",ボカロ
脳内革命ガール,MARETU feat. 初音ミク,ボカロ
ノーダウト,Official髭男dism,J-POP
パート・オブ・ユア・ワールド,すずきまゆみ,ディズニー
ハイドアンド・シーク,19's Sound Factory feat. 初音ミク,ボカロ
敗北の少年,kemu feat. GUMI,ボカロ
爆上戦隊ブンブンジャー,遠藤正明,ニチアサ
爆竜戦隊アバレンジャー,遠藤正明,ニチアサ
走れ,KEI feat.GUMI,ボカロ
バスターズレディーゴー!,高橋秀幸(Project.R),ニチアサ
Butter-Fly,和田光司,アニソン
バッド・ダンス・ホール,カラスヤサボウ feat. 鏡音リン,ボカロ
ハッピーサマーウェディング,モーニング娘。,アイドル
バトルフィーバーJ,"MoJo,コロムビアゆりかご会,フィーリング・フリー",ニチアサ
バトルフロンティア,高屋亜希那,アニソン
花に亡霊,ヨルシカ,J-POP
ハナミズキ,一青窈,J-POP
バニー,すりぃ feat.鏡音リン,ボカロ
Happiness,嵐,アイドル
パプリカ,Foorin,J-POP
ハム太郎 とっとこうた,ハムちゃんず,アニソン
パメラ,バルーン feat. v flower,ボカロ
VAMOLA!キョウリュウジャー,鎌田章吾,ニチアサ
パラメタ,40mP feat. 初音ミク,ボカロ
バラライカ,月島きらり starring 久住小春,アニソン
ハリケンジャー参上!,高取ヒデアキ,ニチアサ
晴る,ヨルシカ,J-POP
春泥棒,ヨルシカ,J-POP
春を告げる,yama,J-POP
バレリーコ,みきとP feat. GUMI,ボカロ
ハロ/ハワユ,ナノウ(ほえほえP) feat. 初音ミク,ボカロ
ハロー、プラネット。,sasakure. UK feat. 初音ミク,ボカロ
"Hello,Worker",KEI feat. 巡音ルカ,ボカロ
*ハロー、プラネット。,sasakure. UK feat. 初音ミク,ボカロ
パンダヒーロー,ハチ feat. GUMI,ボカロ
Be As One,TWICE,アイドル
Be The One,PANDORA,ニチアサ
ビースト・ダンス,和田たけあき(くらげP) feat. 音街ウナ,ボカロ
ピエロ,KEI feat.初音ミク,ボカロ
光戦隊マスクマン,影山ヒロノブ,ニチアサ
ビターチョコデコレーション,syudou feat. 初音ミク,ボカロ
独りんぼエンヴィー,koyori(電ポルP) feat.初音ミク,ボカロ
ヒバナ,DECO*27 feat. 初音ミク,ボカロ
ビビデバ,星街すいせい,VTuber
秒針を噛む,ずっと真夜中でいいのに。,J-POP
Fire◎Flower,halyosy feat. 鏡音レン,ボカロ
ファタール,GEMN,アニソン
F△Bulous,BAE,アニソン
Femme Fatale,言の葉党,アニソン
ファンサ,mona(CV.夏川椎菜) feat.HoneyWorks,アニソン
フィラデルフィア,wotaku feat.フリモメン,ボカロ
Booo!,TOKOTOKO(西沢さんP) feat. 音街ウナ,ボカロ
For my Stella,VISTY,アニソン
フォニイ,ツミキ feat. 可不,ボカロ
福音,wotaku feat.初音ミク,ボカロ
不思議のコハナサイチ,ピノキオピー feat. 初音ミク,ボカロ
PRIDE,今井美樹,J-POP
Flyer!,Chinozo feat. v flower,ボカロ
フラジール,ぬゆり feat. GUMI,ボカロ
プラネテス,"seiza,ねこぼーろ feat. 初音ミク",ボカロ
FREELY TOMORROW,Mitchie M feat. 初音ミク,ボカロ
ブリキノダンス,日向電工 feat. 初音ミク,ボカロ
プリキュア5、スマイル go go!,工藤真由,ニチアサ
Pretender,Official髭男dism,J-POP
プレイ,りぶ,J-POP
flos,R Sound Design feat. 初音ミク,ボカロ
ふわふわ時間,放課後ティータイム,アニソン
ベテルギウス,優里,J-POP
ベノム,かいりきベア feat. v flower,ボカロ
放課後ストライド,Last Note. feat. GUMI,ボカロ
ポーカーフェイス,ゆちゃP feat. GUMI,ボカロ
ポーズ,岡崎体育,アニソン
ポケモン言えるかな? BW,つるの 剛士,アニソン
星屑サンセット,YUKI,J-POP
POP STAR,平井堅,J-POP
potatoになっていく,"Neru feat. 鏡音リン,鏡音レン",ボカロ
ボトム,柊キライ feat. v flower,ボカロ
ポニーテールとシュシュ,AKB48,アイドル
炎,LiSA,アニソン
ボルテッカー,DECO*27 feat. 初音ミク,ボカロ
V(ボルト),遊助,アニソン
マーシャル・マキシマイザー,柊マグネタイト feat. 可不,ボカロ
負けないで,ZARD,J-POP
マジで感謝!,"T-Pistonz,KMC",アニソン
本気ボンバー!!,Berryz工房,アニソン
マジンガーZ,水木一郎,アニソン
魔進戦隊キラメイジャー,大西洋平,ニチアサ
真っ逆さまサマー,はるな。 feat. 初音ミク,ボカロ
真夏の果実,サザンオールスターズ,J-POP
マフィア,wotaku feat.初音ミク,ボカロ
魔法少女とチョコレゐト,ピノキオピー feat. 初音ミク,ボカロ
魔法戦隊マジレンジャー,岩崎貴文,ニチアサ
マリーゴールド,あいみょん,J-POP
丸の内サディスティック,椎名林檎,J-POP
回る空うさぎ,Orangestar feat. 初音ミク,ボカロ
右肩の蝶,のりぴー feat. 鏡音レン,ボカロ
右に曲ガール,はるふり feat. 重音テト,ボカロ
みくみくにしてあげる♪【してやんよ】,ika feat.初音ミク,ボカロ
三十路ボンバイエ,ケツメイシ,J-POP
ミックスナッツ,Official髭男dism,アニソン
未来コネクション,ЯeaL,アニソン
ムーンライト伝説,DALI,アニソン
結ンデ開イテ羅刹ト骸,ハチ feat. 初音ミク,ボカロ
めざせポケモンマスター,松本 梨香,アニソン
Mela!,緑黄色社会,J-POP
メランコリック,Junky feat.鏡音リン,ボカロ
メルト,ryo(supercell) feat. 初音ミク,ボカロ
メンタルチェンソー,P丸様。,VTuber
妄想疾患■ガール,"もじゃ,れるりり feat. GUMI",ボカロ
妄想税,DECO*27 feat. 初音ミク,ボカロ
モーフィン!ムービン!バスターズシップ!,高橋秀幸 (Project.R),ニチアサ
もっふんのうた,吉田仁美,ニチアサ
モニタリング,DECO*27 feat. 初音ミク,ボカロ
ヤキモチの答え-another story-,HoneyWorks feat.初音ミク,ボカロ
やっぱ青春,空野葵(CV.北原沙弥香),アニソン
You got game?,Kimeru,アニソン
夕暮れ先生,石風呂 feat.miki,ボカロ
夕景イエスタデイ,じん feat. IA,ボカロ
勇者,YOASOBI,アニソン
夕立のりぼん,みきとP feat. MAYU,ボカロ
幽霊東京,Ayase feat. 初音ミク,ボカロ
YUME日和,島谷ひとみ,アニソン
夢をかなえてドラえもん,mao,アニソン
ゆるふわ樹海ガール,石風呂 feat.初音ミク,ボカロ
夜明けと蛍,n-buna feat.初音ミク,ボカロ
酔いどれ知らず,Kanaria feat. GUMI,ボカロ
ようかい体操第一,Dream5,アニソン
ようこそジャパリパークへ,どうぶつビスケッツ×PPP,アニソン
吉原ラメント,亜沙 feat.重音テト,ボカロ
夜空ノムコウ,SMAP,アイドル
YONA YONA DANCE,和田アキ子,J-POP
夜咄ディセイブ,じん(自然の敵P)  feat.IA,ボカロ
夜もすがら君想ふ,TOKOTOKO(西沢さんP) feat. GUMI,ボカロ
夜に駆ける,YOASOBI,J-POP
夜のピエロ,Ado,J-POP
Life is SHOW TIME,鬼龍院翔,ニチアサ
ライラック,Mrs. GREEN APPLE,J-POP
ラヴィ,すりぃ feat. 鏡音レン,ボカロ
ROWDIEZ -悪漢奴等 Wanted Vibes-,悪漢奴等,アニソン
LUCKYSTAR,幡野智宏(Project.R),ニチアサ
LOVEマシーン,モーニング娘。,アイドル
RE:I AM,Aimer,アニソン
LEAP HIGH! 〜明日へ、めいっぱい〜,PRODUCE 101 JAPAN THE GIRLS,アイドル
ルカルカ★ナイトフィーバー,samfree feat. 巡音ルカ,ボカロ
ルパンレンジャーVSパトレンジャー,"Project.R(吉田達彦,吉田仁美)",ニチアサ
ルマ,かいりきベア feat. 初音ミク,ボカロ
烈車戦隊トッキュウジャー,伊勢大貴,ニチアサ
劣等上等,"Giga feat. 鏡音リン,鏡音レン",ボカロ
恋愛サーキュレーション,千石撫子(CV.花澤香菜),アイドル
恋愛裁判,40mP feat.初音ミク,ボカロ
恋愛レボリューション21,モーニング娘。,アイドル
ロウワー,ぬゆり feat. v flower,ボカロ
ローリンガール,wowaka feat. 初音ミク,ボカロ
ロキ,みきとP feat. 鏡音リン,ボカロ
六兆年と一夜物語,kemu feat.IA,ボカロ
炉心融解,iroha(sasaki) feat. 鏡音リン,ボカロ
ロスタイムメモリー,じん feat.IA,ボカロ
ロストマン,BUMP OF CHICKEN,J-POP
ロストワンの号哭,Neru feat. 鏡音リン,ボカロ
ロマンスの神様,広瀬香美,J-POP
浪漫飛行,米米CLUB,J-POP
ロミオとシンデレラ,doriko feat.初音ミク,ボカロ
ロメオ,"HoneyWorks,おればななP feat. 初音ミク,GUMI",ボカロ
ワールズエンド・ダンスホール,"wowaka feat. 初音ミク,巡音ルカ",ボカロ
ワールド・ランプシェード,buzzG feat. GUMI,ボカロ
我ら思う､故に我ら在り,氣志團,ニチアサ
Wonderful Days,プルタブと缶,アニソン
1・2・3,After the Rain,アニソン
１ドリーム,リトルブルーボックス,アニソン